house_dist,county
098,Gwinnett
099,Gwinnett
023,Forsyth
023,Cherokee
090,Henry
090,DeKalb
091,Henry
091,DeKalb
092,Rockdale
092,DeKalb
093,Rockdale
093,DeKalb
094,Rockdale
094,DeKalb
095,Newton
095,Rockdale
095,Gwinnett
096,Gwinnett
097,Gwinnett
133,Muscogee
132,Muscogee
012,Pickens
012,Gordon
012,Bartow
130,Harris
130,Muscogee
130,Talbot
014,Bartow
014,Floyd
136,Upson
136,Bibb
136,Lamar
136,Peach
136,Crawford
136,Houston
136,Monroe
016,Polk
016,Floyd
017,Paulding
017,Haralson
018,Haralson
018,Carroll
019,Paulding
139,Bibb
138,Bibb
056,Fulton
025,Hall
024,Forsyth
027,Lumpkin
027,White
027,Hall
026,Hall
124,McDuffie
124,Hancock
124,Warren
124,Putnam
124,Glascock
124,Taliaferro
125,Jasper
125,Lamar
125,Jones
125,Monroe
126,Butts
126,Lamar
126,Spalding
127,Upson
127,Lamar
127,Pike
128,Meriwether
128,Troup
129,Harris
129,Muscogee
129,Troup
029,Madison
029,Hart
029,Franklin
028,Stephens
028,Franklin
028,Banks
010,White
010,Habersham
011,Floyd
011,Chattooga
131,Muscogee
013,Floyd
137,Bibb
015,Bartow
135,Dooly
135,Macon
135,Taylor
135,Talbot
135,Peach
084,DeKalb
134,Marion
134,Schley
134,Talbot
134,Sumter
089,DeKalb
115,Clarke
114,Clarke
117,Columbia
117,Wilkes
117,Lincoln
116,Wilkes
116,Putnam
116,Oglethorpe
116,Greene
111,Walton
110,Henry
110,Newton
110,Butts
113,Oconee
113,Oglethorpe
113,Clarke
113,Morgan
112,Newton
112,Morgan
032,Cobb
033,Cobb
030,Elbert
030,Jackson
030,Madison
031,Jackson
031,Barrow
031,Hall
119,Columbia
119,Richmond
118,Columbia
034,Cobb
035,Cobb
174,Brooks
174,Thomas
174,Lowndes
174,Echols
050,Fulton
051,Fulton
051,Gwinnett
172,Decatur
172,Grady
170,Cook
170,Colquitt
170,Berrien
108,Barrow
109,Henry
148,Terrell
148,Webster
148,Lee
148,Chattahoochee
148,Quitman
148,Stewart
049,Fulton
048,Fulton
102,Gwinnett
103,Gwinnett
100,Gwinnett
044,Fulton
044,Cobb
043,Cobb
042,Cobb
104,Gwinnett
105,Gwinnett
054,Fulton
055,Fulton
076,Clayton
077,Fayette
077,Clayton
153,Tift
153,Turner
047,Fulton
075,Clayton
058,Fulton
058,DeKalb
059,Fulton
179,Glynn
178,Wayne
178,Brantley
178,Pierce
177,Ware
177,Charlton
176,Lowndes
176,Clinch
176,Lanier
176,Berrien
175,Lowndes
057,Fulton
057,DeKalb
173,Thomas
173,Grady
045,Cobb
171,Colquitt
171,Mitchell
154,Ben Hill
154,Jeff Davis
154,Irwin
154,Wheeler
154,Tift
154,Telfair
101,Gwinnett
070,Heard
070,Coweta
106,Gwinnett
071,Coweta
145,Houston
107,Walton
107,Gwinnett
180,Glynn
180,Camden
041,Cobb
040,Cobb
061,Fulton
060,Fulton
060,DeKalb
060,Clayton
063,Fulton
063,Douglas
062,Fulton
062,Clayton
065,Fulton
064,Fulton
064,Douglas
067,Douglas
066,Fulton
066,Fayette
069,Heard
069,Carroll
069,Troup
068,Carroll
068,Douglas
168,Wayne
168,Appling
168,Bacon
168,Jeff Davis
169,Coffee
169,Jeff Davis
169,Atkinson
164,Liberty
164,Chatham
164,Bryan
165,Liberty
166,Liberty
166,Evans
166,Tattnall
167,Wayne
167,McIntosh
167,Liberty
167,Glynn
167,Long
160,Chatham
161,Chatham
162,Chatham
163,Chatham
022,Cherokee
046,Fulton
038,Cobb
039,Cobb
151,Dougherty
150,Dougherty
150,Baker
074,Fayette
074,Clayton
152,Worth
152,Dougherty
152,Lee
152,Colquitt
155,Montgomery
155,Toombs
155,Treutlen
155,Wheeler
155,Emanuel
073,Henry
073,Fayette
073,Spalding
157,Effingham
157,Screven
157,Jenkins
157,Burke
157,Bulloch
156,Johnson
156,Candler
156,Emanuel
156,Bulloch
159,Effingham
159,Chatham
158,Bryan
158,Bulloch
078,Henry
078,Clayton
079,DeKalb
052,Fulton
036,Cobb
072,Fayette
037,Cobb
053,Fulton
146,Houston
147,Worth
147,Dooly
147,Crisp
147,Pulaski
147,Houston
144,Ben Hill
144,Dodge
144,Pulaski
144,Wilcox
144,Bleckley
088,DeKalb
088,Gwinnett
142,Washington
142,Jefferson
142,Burke
142,Johnson
142,Emanuel
143,Johnson
143,Laurens
140,Wilkinson
140,Bibb
140,Jones
140,Twiggs
141,Putnam
141,Baldwin
083,DeKalb
082,DeKalb
081,DeKalb
080,DeKalb
087,DeKalb
086,DeKalb
085,DeKalb
149,Seminole
149,Clay
149,Early
149,Calhoun
149,Miller
149,Randolph
003,Catoosa
003,Whitfield
002,Dade
002,Walker
001,Catoosa
001,Walker
007,Dawson
007,Gilmer
007,Fannin
006,Catoosa
006,Murray
006,Whitfield
005,Gordon
005,Murray
004,Whitfield
009,Lumpkin
009,Forsyth
009,Dawson
008,Union
008,White
008,Towns
008,Rabun
120,Richmond
121,Richmond
122,Richmond
123,Burke
123,Richmond
021,Cherokee
020,Cherokee
